Enzyme,Type,PFA,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
CYP ,To-PP,AA,0.293263487433,0.178053066977,0.277708627131,0.303422553165,0.158303113644,0.329745616573,0.17572935395,0.270079994029,0.199855475304,0.198288936509
CYP ,To-PP,aLA,0.778265382304,0.632702105162,0.779792180235,0.759284890427,0.600911916158,0.782682602922,0.674777647256,0.77305834613,0.6850946854,0.747853330239
CYP ,To-PP,EPA,0.312063808574,0.22167838391,0.350886449979,0.326660059465,0.165246212121,0.419294025873,0.241403201692,0.311761472932,0.257717804888,0.199796126402
CYP ,To-PP,DHA,0.359952772524,0.267558528428,0.624496734365,0.699133804102,0.271451575799,0.369101574934,0.183787520885,0.501951393606,0.251755148652,0.36462527157
CYP ,To-PP,LA,0.171784948243,0.129528433056,0.183118529126,0.188817379139,0.138592693153,0.184284782309,0.139886453359,0.1644104504,0.126598647542,0.132895286619
COX,To-PP,Total,0.000608687167173,0.000991919231289,0.000661943965453,0.00285914127741,0.00237358836111,0.00124414933861,0.0018007645683,0.0014368692545,0.000610918962744,0.000348174686464
COX,To-PP,AA,0.00842096155023,0.014857361945,0.0142611537092,0.0508821994563,0.0231967258389,0.0213466407252,0.0284389118675,0.0203013754528,0.00978286059429,0.00415794766981
COX,To-PP,aLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,To-PP,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,To-PP,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,To-PP,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEH,To-PP (CYP METABOLITES),Total,0.0401523106965,0.102338429659,0.0680249088407,0.0942232899545,0.102326500529,0.0239315352697,0.180951114825,0.0513929078454,0.0411756888456,0.0532123519754
SEH,To-PP (CYP METABOLITES),AA,0.112490153173,0.189289544236,0.113932806324,0.168859250851,0.316870026525,0.101430551705,0.316101694915,0.164147678108,0.125743119266,0.133459459459
SEH,To-PP (CYP METABOLITES),aLA,0.0352597098737,0.138407778791,0.0615046018407,0.12304420477,0.181691204228,0.0259942989005,0.173588659537,0.0505271335035,0.0450289790459,0.0400310318076
SEH,To-PP (CYP METABOLITES),EPA,0.207667731629,0.231232436772,0.0541353383459,0.153519417476,0.209169054441,0.0407751937984,0.0699395770393,0.120758043191,0.0993911719939,0.113945578231
SEH,To-PP (CYP METABOLITES),DHA,0.00746008708273,0.0,0.015329512894,0.00664658634538,0.0228813559322,0.00702258726899,0.0523510971787,0.00827981651376,0.00819587628866,0.0112916666667
SEH,To-PP (CYP METABOLITES),LA,0.0301845480138,0.0819043107532,0.0675762439807,0.0768580060423,0.0582524271845,0.014120752227,0.178820545339,0.0365060712887,0.0313041683863,0.0460304942166
LOX,To-F,Total,0.817267045498,0.871443812934,0.79320433267,0.784387166919,0.798111813845,0.81745161588,0.815764642379,0.779447185136,0.852378893863,0.818608128202
LOX,To-F,AA,0.503584205531,0.562708839064,0.460986087853,0.450957168661,0.520367368946,0.46317698721,0.558195940205,0.470105617626,0.533355420687,0.565878973154
LOX,To-F,aLA,0.322553404738,0.456601346934,0.297317100665,0.243858022301,0.246281784743,0.311522028037,0.304583559538,0.264828119463,0.416150690355,0.265464679963
LOX,To-F,EPA,0.539765319426,0.62878701269,0.475575221239,0.491581664004,0.621575284903,0.535558938669,0.680003942052,0.530046826223,0.69194877395,0.67860036264
LOX,To-F,DHA,0.572439101679,0.771228151765,0.644047964366,0.690438473264,0.699329722551,0.640716919518,0.724202494083,0.558128552032,0.748502994012,0.720734108556
LOX,To-F,LA,0.865198610571,0.912761835905,0.844733714857,0.844063631701,0.863275144838,0.866617974744,0.886839583129,0.839002670061,0.890048386561,0.875604609256
CYP ,To-F,Total,0.161013186033,0.10710031849,0.184765278847,0.19582408617,0.161550365854,0.16506981181,0.146268685845,0.193078563314,0.127079328014,0.152155188196
CYP ,To-F,AA,0.252931872089,0.162659695869,0.272966942051,0.307624636604,0.196479414677,0.277881055512,0.160705080301,0.271496050084,0.176581033364,0.193623315047
CYP ,To-F,aLA,0.673347536758,0.531939223858,0.67241573667,0.747691721596,0.710059171598,0.673487760614,0.659508012945,0.706852669223,0.566099724532,0.725551559313
CYP ,To-F,EPA,0.345501955671,0.243740711101,0.442300884956,0.416000983163,0.261538978721,0.335471944324,0.237399121798,0.322580645161,0.184552764817,0.248061417384
CYP ,To-F,DHA,0.425921950654,0.226717823509,0.352997281233,0.304868936247,0.296748220548,0.35880147493,0.270251174621,0.437916248517,0.244510978044,0.277519783037
CYP ,To-F,LA,0.134195054591,0.0860842877461,0.153711700896,0.155011501021,0.129393716599,0.132514484387,0.110934186596,0.159493677305,0.108580898309,0.122996490895
COX,To-F,Total,0.000589125218952,0.000293940213374,0.00115244955245,0.00106905509521,0.000804222884451,0.000578107264772,0.000921110429202,0.00141037611409,0.00169350878042,0.000650109953985
COX,To-F,AA,0.00700050147397,0.00421029913162,0.016078702621,0.014428683898,0.00720676184136,0.010047134285,0.00801827723731,0.0149540706529,0.0274668892428,0.00572999174745
COX,To-F,aLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,To-F,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,To-F,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,To-F,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEH,To-F (CYP METABOLITES),Total,0.0167473848942,0.0303600247357,0.0407999271238,0.0191269351261,0.0723559774762,0.0186640017908,0.0624053186234,0.0359881983866,0.0436387198246,0.0296345460505
SEH,To-F (CYP METABOLITES),AA,0.0907320872274,0.150405405405,0.250729927007,0.108212180747,0.174401595745,0.100376361836,0.303310502283,0.176316530555,0.3216354234,0.13304199773
SEH,To-F (CYP METABOLITES),aLA,0.00608758223684,0.0215427415276,0.0450125733445,0.0113017917133,0.0614864864865,0.0222575854021,0.0544472952747,0.040063810392,0.0313541666667,0.0123819742489
SEH,To-F (CYP METABOLITES),EPA,0.0679245283019,0.093808630394,0.0568227290916,0.0168389955687,0.0613110539846,0.0457050243112,0.0190498154982,0.0822580645161,0.200107584723,0.0685847589425
SEH,To-F (CYP METABOLITES),DHA,0.003848,0.00905982905983,0.0083704735376,0.0153921568627,0.0132167832168,0.00134226190476,0.020522875817,0.0090318627451,0.0285714285714,0.00629183400268
SEH,To-F (CYP METABOLITES),LA,0.00451830985915,0.0134040296925,0.0101136363636,0.00596644295302,0.0566576086957,0.00654676258993,0.0200680272109,0.00942766295707,0.0126239067055,0.0113734939759
