"Name","fa","grp"
"C160-NEFA","0.612234675614117","0.163442206197524"
"15-HETE-To","0.907779840776621","0.432886634347651"
"9-HOTE-To","0.848777309352095","0.591960053419323"
"9_10-DiHOME-To","0.718177726686447","0.825262803585346"
"910-EpODE-To","0.200932964893348","0.70366822542388"
"11-HETE-To","0.962829617650626","0.434561280542933"
"9-KODE-To","0.652510052776684","0.500800434612308"
"5-HEPE-NE","0.00557717272708885","0.0633293774985115"
"C181n9/C180","0.860423109084707","0.80387482411615"
"Per--C160-NEFA","0.0911051211435698","0.824237084075555"
" Per-9c,11t-CLA","0.504667621513557","0.442562568914509"
"8-HETE-To","0.933664100629544","0.626683974139932"
"Per--C202n6-NEFA","0.390417253757716","0.204918985268452"
"C226n3/C225n3-NEFA","0.0607003321647183","0.071907961131206"
"Per-C161n7","0.000265856961595348","0.607553722954352"
"5_15-DiHETE-To","0.103443680161849","0.796801238528129"
"13-KODE-NE","0.441027899436267","0.587044007516518"
"15-HETE-NE","0.429387679338679","0.27163907762947"
"14_15-DiHETrE-To","0.125586669504279","0.087337084176759"
"C150","0.567504609720541","0.642796322316932"
"5_6-DiHETrE-To","0.575395960680593","0.401783634172759"
"1213-EpOME-NE","0.551086424590153","0.684506305965412"
"C161n7/C160","0.00306220180439633","0.84977045726409"
"C190","0.203854038943152","0.536293278154481"
"9-HETE-To","0.758928376884335","0.421727732181429"
"C202n6-NEFA","0.72587835267511","0.518721897112859"
"8_9-DiHETrE-To","0.509792846500585","0.869501641187312"
"C225n3/C205n3-NEFA","0.95118525487354","0.0623392514626418"
"17-HDoHE-To","0.586412526949621","0.253893435694994"
"9-KODE-NE","0.449106769037583","0.679836685434103"
"C204n6-NEFA","0.929946334109309","0.614240955732065"
"Per-C181n7","0.00322351242473344","0.0690830343091575"
"Per-C224n6","0.284491178555005","0.633942234054141"
"8_9-DiHETrE-NE","0.0134399622928785","0.517996161343938"
"Per-C201n9","0.28394462737866","0.214424382435648"
"C226n3-NEFA","0.899545813220203","0.415901788606568"
"Per-C183n3","0.000998003337430043","0.179853258264478"
"C203n6-NEFA","0.441705114680838","0.837020770765462"
"Per-C190","0.849139196035612","0.366715608726448"
"5-HETE-To","0.668292728207379","0.320323119148836"
"Total NEFA-NEFA","0.689902655905744","0.221865999329633"
"Sum-n-3 PUFA-NEFA","0.987070318127674","0.305421501778954"
