Time,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
Phenotype,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro
Sample ID,0,1,2,3,4,0,1,2,3,4,5,6,7,8,9,5,6,7,8,9
Label,D229,D360,D384,D391,D75,D229.1,D360.1,D384.1,D391.1,D75.1,D274,D34,D356,D368,D370,D274.1,D34.1,D356.1,D368.1,D370.1
Per-C210,-7.643855,-8.38082,-2.954557,-7.965783,-7.643855,-6.380822,-7.965783,-7.643855,-3.522841,-6.965784,-6.380822,-9.965764,-6.965784,-8.965779,-8.965779,-7.643855,-6.795859,-6.643856,-7.643855,-7.380821
1213-Ep-9-KODE-NE,1.7398481,0.55581616,1.56071495,-1.2446851,1.26303441,0.26303441,-0.3921371,-0.51663564,-0.0424568,0.11103131,-2.2243173,-0.90508835,2.04614178,-0.99424073,-1.53951953,0.11103131,0.59454855,0.04264434,-0.15360698,1.09085343
5_6-DiHETrE-NE,-1.046921,1.9855004,-0.6214884,-1.4619585,0.0976108,-2.1713684,-2.3364277,-2.0649175,-3.5344956,-1.9434165,-3.0588937,-1.0954196,-0.5994621,-2.4900509,-1.2549779,-2.5563933,-3.3075728,-1.5437195,-1.7466158,-1.7514652
1112-EpETrE-To,4.061776,5.482203,3.350497,3.944858,4.371559,3.827819,2.70044,3.817623,2.372952,2.601697,3.207893,4.061776,3.405992,2.201634,4.643856,3.294253,2.250962,3.226509,3.916477,3.954196
5-HETE-NE,0.54596837,4.19377174,0.81557543,0.71369581,2.5680321,-0.25670047,0.12432814,0.08406426,-1.16488438,-0.02914635,1.44360665,0.94860085,0.75702325,-0.90508835,0.72246602,-0.10005101,-0.29335894,0.47508488,0.02856915,-0.12343394
Per--C200-NEFA,-2.258425,-1.617056,-2.867752,-1.867752,-2.932361,-2.145605,-1.994241,-2.070967,-2.210897,-2.058894,-2.680382,-3.046921,-1.648372,-3.590745,-2.064917,-2.878321,-2.12658,-2.816037,-2.32916,-2.32916
C205n3-NEFA,-6.9555625,-2.7033808,0.4855856,-3.919319,0.4586605,-3.4888088,-3.4231961,-3.0989987,-3.4473219,-2.324702,-4.2554014,-1.3759045,-2.4183134,-1.8760265,-4.0229885,-2.5459328,-2.8780414,-4.5266146,-2.4041935,-3.2339426
C180-NEFA,2.438106,1.234507,4.107758,2.318017,4.35216,2.528742,2.066984,2.738713,2.999183,2.536093,2.556288,3.215841,2.260428,2.211908,2.277507,3.760934,3.349612,3.290824,2.198134,2.401134
9_10-EpO-NE,0.4114262,2.3219281,0.6599246,1.2509616,0.9486008,1.169925,1.8073549,3.4854268,0.9030383,-0.2880646,1.0908534,0.5849625,1.6182387,0.1890338,0.3895668,1.0908534,0.704872,1.1826923,2.077243,2.5509007
C180/C160-NEFA,-2.193852,-1.817946,-2.202489,-1.047866,-2.141461,-1.581535,-1.391408,-1.924572,-1.363329,-1.344172,-1.800085,-2.408979,-1.68321,-2.180594,-2.016905,-1.822197,-1.453244,-1.367746,-1.625225,-1.93381
C220,1.8296898,2.7246032,2.4180222,0.95012,2.0774513,1.0851235,1.4041691,1.880342,0.8706041,3.3547119,0.9957995,2.6235727,0.1356272,0.2385438,1.58131,1.1562171,1.4142121,0.4526296,1.3945817,1.7517043
1617-EpDPE-To,3.643856,4.548437,2.843984,3.350497,3.837943,2.784504,1.678072,2.803227,2.316146,2.560715,2.748461,3.93546,3.028569,2.555816,2.901108,2.283922,1.673556,2.124328,4.277985,2.263034
1516-EpODE-To,4.584963,6.643856,4.50462,5.095924,5.741467,5.937815,5.57289,7.507795,5.542258,4.095924,4.465974,5.491853,4.044394,3.221877,5.60585,5.569856,5.923625,6.031219,6.161888,6.53294
12_13-DiHOME-To,-0.43050891,2.81147103,0.5849625,-0.05139915,3.19377174,2.32768736,3.26603689,4.28540222,2.75702325,1.89141919,-0.53742411,1.20789285,-0.04097178,-0.19594644,1.49057013,1.20789285,3.79701298,2.26002566,2.85399565,3.13750352
1415-EpETrE-To,5.040016,6.16792,4.201634,4.536053,5.281698,4.300124,3.560715,4.61471,2.969012,3.237258,3.837943,5.121015,4.087463,2.877744,5.575917,4.185867,2.825786,4.061776,4.812498,4.738768
Sum-TriHOME-To,3.711495,5.632268,3.510962,3.049631,3.655352,3.459432,3.336283,3.887525,2.903038,3.01078,3.336283,3.485427,3.056584,3.117695,3.776104,3.116032,3.122673,3.336283,4.232661,3.666757
13-HODE-NE,2.358959,4.137504,4.321928,2.035624,2.95977,3.193772,3.89724,5.066089,4.542258,2.07382,0.722466,1.691534,2.720278,2.02148,4.548437,2.446256,3.498251,3.655352,4.193772,4.478972
13-HODE-To,10.491853,12.666224,9.805744,9.894818,10.550747,9.837628,9.611025,10.670656,8.611025,8.957102,9.784635,10.440869,9.226412,9.415742,10.756556,9.670656,8.982994,9.599913,11.036174,10.579316
9-HODE-To,8.991522,10.994353,8.194757,8.344296,9.057992,8.714246,8.672425,9.564149,7.67948,7.60733,8.379378,8.83289,7.761551,8.044394,9.169925,8.348728,8.209453,8.344296,9.590587,9.273796
Per--Sum-SFA-NEFA,5.084957,4.78115,5.415725,4.932439,4.930595,4.94059,4.768184,5.357833,4.735576,4.845239,4.722958,5.056844,5.207502,4.444071,5.353359,4.783771,5.069315,4.310122,4.991272,5.246978
PGF2a-NE,-2.71785677,-5.67300248,-0.02326978,-1.25153877,-13.70880676,-1.77102743,-2.08926734,0.8559897,-1.92139017,-13.70880676,-1.48196851,-13.70880676,-1.32553935,-2.33642766,-1.41119543,-0.23276896,-3.57346686,-1.82623293,-0.9770996,-4.08558855
Per-C184n3,-5.321928,-5.965784,-3.442222,-3.380822,-6.058894,-4.573467,-5.643856,-4.92139,-4.321928,-5.442222,-3.210897,-7.643855,-3.899695,-4.92139,-6.965784,-4.083141,-6.058894,-5.795859,-6.506353,-3.490051
C204n6/C203n6,3.402428,2.048234,2.25951,2.265011,3.09863,3.496792,2.300802,2.530821,2.570158,2.878246,1.785397,2.374328,2.496354,2.394739,2.405046,2.025023,2.399475,2.725783,2.446918,2.539828
1213-Ep-9-KODE-To,5.292782,7.209453,4.837943,5.270529,5.539159,4.683696,4.596935,5.285402,3.620586,4.044394,4.478972,5.752213,4.193772,4.364572,6.033423,4.590961,3.867896,4.584963,5.744161,5.145677
13-KODE-To,6.633722,8.546894,6.232661,6.60733,6.870365,5.84549,5.921246,6.754888,5.017922,5.354029,6.123087,7.076816,5.626439,5.60585,7.467606,5.909293,5.378512,5.847997,7.219169,6.553053
Sum-SFA-NEFA,5.203652,3.964467,6.792347,4.312023,7.006168,4.875127,4.403469,5.302846,5.161197,4.734449,5.052794,6.08097,4.834476,5.12214,5.01552,6.203395,5.532912,5.496825,4.69006,5.035011
13-HOTE-To,3.596935,6.411087,3.432959,3.596935,4.095924,3.077243,3.548437,4.439623,2.510962,2.729009,3.472488,4.498251,2.533563,2.91265,4.177918,3.077243,3.405992,3.378512,4.498251,4.217231
C160-NEFA,4.631958,3.052453,6.310247,3.365882,6.493621,4.110278,3.458392,4.663285,4.362511,3.880265,4.356373,5.62482,3.943638,4.392502,4.294412,5.583132,4.802855,4.65857,3.823359,4.334944
15-HETE-To,5.862947,7.651052,4.82273,4.940167,6.44791,4.892391,4.906891,5.240314,3.336283,4.683696,4.554589,6.253611,4.672425,4.240314,6.44791,4.405992,4.095924,4.638074,5.944858,6.015694
