Metabolite,PP-F D229,PP-F D360,PP-F D384,PP-F D391,PP-F D75,PP-F D274,PP-F D34,PP-F D356,PP-F D368,PP-F D370,PP/F D229,PP/F D360,PP/F D384,PP/F D391,PP/F D75,PP/F D274,PP/F D34,PP/F D356,PP/F D368,PP/F D370
C14:0-NEFA,-9.86,-9.18,-4.46,2.41,-1.59,4.25,-4.64,-0.13,2.31,9.19,0.343104596935,0.429104477612,0.766002098636,1.46168582375,0.788563829787,1.47914317926,0.619047619048,0.985619469027,1.17381489842,2.94703389831
C22:5n3/C20:5n3,0.02,-0.18,0.11,0.04,0.03,0.07,-0.03,0.01,0.03,0.1,1.02631578947,0.78313253012,1.12941176471,1.07142857143,1.06666666667,1.19444444444,0.921052631579,1.0119047619,1.05,1.09090909091
C18:3n6-NEFA,-0.26,-0.76,-0.53,0.31,-0.79,0.22,-0.18,0.08,0.22,0.56,0.518518518519,0.424242424242,0.660256410256,1.72093023256,0.443661971831,1.36666666667,0.854838709677,1.14814814815,1.22916666667,2.21739130435
%-_ MUFA-NEFA,-11.253,-7.732,0.78,-1.676,-1.677,1.425,0.475,-3.902,-1.088,13.247,0.717261306533,0.808376703841,1.02332535885,0.949334945586,0.949396499698,1.04568772042,1.01412009512,0.895022867904,0.970963437417,1.58408289242
9(10)-EpOME-NE,1.38,0.12,4.25,3.95,2.23,-1.69,4.96,2.73,2.7,1.42,1.67317073171,1.06451612903,2.17728531856,2.54296875,3.32291666667,0.614155251142,4.75757575758,3.39473684211,2.34328358209,1.51263537906
%-C18:0-NEFA,2.719,3.936,-0.582,1.763,-1.065,0.364,0.536,2.211,0.659,-1.267,1.40497467977,1.65187148062,0.936050983408,1.19476358816,0.90038350014,1.04308202154,1.07683486239,1.22980979108,1.09453450007,0.877014172005
13-HOTE-NE,-0.37,1.13,3.85,1.9,-0.69,1.15,2.79,0.56,1.62,-2.13,0.862453531599,1.46887966805,2.07242339833,1.625,0.786377708978,1.46,2.35436893204,1.14285714286,1.99386503067,0.635273972603
5_6-DiHETrE-NE,0.35,-0.32,-0.18,-0.85,0.27,-0.06,-0.2,-0.44,0.14,-0.14,1.38461538462,0.573333333333,0.8125,0.776315789474,1.21774193548,0.85,0.784946236559,0.698630136986,1.0979020979,0.931034482759
10-Nitrooleate-NE,0.31,-0.96,0.02,-0.53,1.53,0.12,-1.23,0.48,2.75,-0.55,1.18343195266,0.756962025316,1.00290275762,0.77731092437,1.85474860335,1.13636363636,0.430555555556,1.2774566474,1.53398058252,0.604316546763
%C22:0,-0.0025,-0.0023,0.008,0.0166,-0.011,-0.0031,0.0055,-0.0176,0.0011,-0.0052,0.895833333333,0.930303030303,1.61538461538,1.97647058824,0.56,0.80625,1.34375,0.466666666667,1.06470588235,0.792
C22:6n3-NEFA,-1.47,-3.04,-4.52,-0.58,-2.88,-3.06,-1.21,-1.32,-0.25,3.46,0.691823899371,0.609254498715,0.568290353391,0.868778280543,0.536231884058,0.766945925362,0.704156479218,0.714902807775,0.966799468792,1.85643564356
14_15-DiHETrE-NE,-0.48,-0.17,-0.13,-0.13,0.35,0.07,-0.11,0.3,-0.05,-0.28,0.622047244094,0.795180722892,0.852272727273,0.808823529412,1.45454545455,1.12727272727,0.845070422535,1.44776119403,0.942528735632,0.768595041322
15-HETE-To,-26.0,-14.0,12.7,-6.4,57.8,-33.1,-37.0,-79.6,39.7,-3.0,0.831168831169,0.83908045977,1.16472114137,0.938461538462,1.62689804772,0.751127819549,0.580498866213,0.319658119658,1.62717219589,0.979865771812
C18:0/C16:0-NEFA,0.11,0.16,0.01,0.03,-0.06,0.01,0.06,0.07,0.05,-0.03,1.42307692308,1.61538461538,1.03448275862,1.07894736842,0.869565217391,1.02941176471,1.20689655172,1.16666666667,1.18518518519,0.916666666667
11-HETE-To,-14.0,-3.9,2.7,-4.4,18.6,-6.5,-15.8,-38.3,15.7,4.8,0.81935483871,0.903703703704,1.07238605898,0.91619047619,1.38830897704,0.903846153846,0.640091116173,0.339655172414,1.47005988024,1.06857142857
12_13-DiHOME-To,1.26,4.74,7.4,8.4,3.18,2.12,36.9,5.33,6.08,7.43,1.52941176471,2.56435643564,4.34841628959,5.0,2.09655172414,1.5145631068,15.76,3.14919354839,5.10810810811,3.34384858044
%-C16:0-NEFA,0.058,0.6,-2.948,2.347,0.957,0.059,-2.675,1.599,-1.88,-0.562,1.00227112538,1.02565198803,0.906284769686,1.09889183837,1.04092891968,1.00237147795,0.890409275267,1.07050575422,0.92795554704,0.980150460919
"9c,11t-CLA-NEFA",-0.19,-0.62,-0.09,-0.03,-0.01,-0.34,0.25,-0.06,-0.19,-0.02,0.387096774194,0.279069767442,0.55,0.863636363636,0.923076923077,0.209302325581,7.25,0.785714285714,0.627450980392,0.8
9_10-DiHODE-To,0.3,0.64,1.63,1.41,1.08,0.11,6.61,1.03,1.46,1.08,1.73170731707,2.42222222222,3.50769230769,3.27419354839,2.5652173913,1.14102564103,11.8360655738,1.98095238095,5.70967741935,3.7
C12:0-NEFA,-1.75,-3.26,-0.2,0.54,-0.43,0.96,-1.38,-0.51,0.49,1.85,0.567901234568,0.474193548387,0.954954954955,1.25837320574,0.86038961039,1.33333333333,0.678321678322,0.871536523929,1.1234256927,1.82589285714
8-HETE-To,-7.2,-2.7,6.1,-1.2,14.2,-11.5,-9.8,-24.9,13.8,1.6,0.846808510638,0.901818181818,1.24897959184,0.965217391304,1.42261904762,0.76814516129,0.664383561644,0.369620253165,1.63888888889,1.03389830508
5_6-DiHETrE-To,-1.79,0.51,-4.57,0.74,1.19,1.27,0.03,3.43,-0.65,0.39,0.79354094579,1.10805084746,0.556310679612,1.16972477064,1.19193548387,1.25971370143,1.00423131171,1.40023337223,0.888123924269,1.04727272727
5-HETE-To,-4.8,-9.0,8.0,-17.7,40.7,-12.0,-11.5,-55.6,25.7,-4.0,0.953846153846,0.868421052632,1.14925373134,0.8173374613,1.50684931507,0.896551724138,0.844594594595,0.392349726776,1.4913957935,0.964912280702
C22:6n3/C22:5n3,-0.13,0.65,-0.48,-0.29,-0.26,-0.58,0.04,-0.1,-0.33,-0.07,0.963988919668,1.2850877193,0.874015748031,0.946494464945,0.955631399317,0.853164556962,1.01459854015,0.971181556196,0.945182724252,0.958333333333
11(12)-EpETrE-To,-6.0,7.2,-1.4,-8.7,-2.3,19.7,-10.7,7.7,-5.6,7.4,0.875518672199,1.30125523013,0.95625,0.691489361702,0.924342105263,1.71636363636,0.683431952663,1.25838926174,0.812080536913,1.19946091644
5_15-DiHETE-To,-0.34,-0.14,0.09,1.35,0.8,-2.23,-0.03,-0.2,0.35,0.23,0.65306122449,0.666666666667,1.25714285714,3.75510204082,3.0,0.0746887966805,0.875,0.459459459459,1.97222222222,1.82142857143
12(13)-EpODE-NE,0.29,0.46,1.28,1.0,0.04,0.51,0.97,,,0.37,2.70588235294,7.57142857143,6.12,13.5,1.5,3.55,33.3333333333,,,2.32142857143
%-_ SFA-NEFA,3.906,5.056,-3.409,3.949,0.827,0.642,-2.47,3.964,-1.7,-4.298,1.10760330579,1.15307296397,0.924008024967,1.10730978261,1.02214190094,1.01745988578,0.930734716769,1.10887118923,0.955168776371,0.90503756076
C18:1n9/C18:0-NEFA,-2.46,-2.7,0.33,-0.56,0.14,0.05,-0.16,-0.8,-0.32,1.59,0.511904761905,0.506398537477,1.1050955414,0.819935691318,1.05147058824,1.01557632399,0.960687960688,0.7583081571,0.92841163311,1.91907514451
C20:3n6-NEFA,-0.6,-1.1,-0.22,0.05,-0.73,-0.28,-0.39,-0.05,0.29,0.58,0.512195121951,0.612676056338,0.894736842105,1.03703703704,0.660465116279,0.884773662551,0.843373493976,0.965517241379,1.16022099448,1.725
C15:0-NEFA,-1.57,-0.99,-0.54,0.22,-0.26,0.49,-0.53,-0.23,0.05,0.89,0.566298342541,0.673267326733,0.813148788927,1.11518324607,0.89387755102,1.18560606061,0.805860805861,0.912878787879,1.01628664495,1.445
