Metabolite,PP-F D229,PP-F D360,PP-F D384,PP-F D391,PP-F D75,PP-F D274,PP-F D34,PP-F D356,PP-F D368,PP-F D370,PP/F D229,PP/F D360,PP/F D384,PP/F D391,PP/F D75,PP/F D274,PP/F D34,PP/F D356,PP/F D368,PP/F D370
C18:1n7-NEFA,0.42,0.88,-2.8,1.18,-3.95,3.11,-0.32,4.02,-1.22,0.44,1.336,2.17333333333,0.257294429708,2.43902439024,0.254716981132,2.78735632184,0.867219917012,6.28947368421,0.5234375,1.47311827957
C14:0-NEFA,0.19,0.41,-5.23,1.36,-5.09,3.14,-0.61,2.09,-1.91,-0.31,1.08636363636,1.21693121693,0.396770472895,1.83950617284,0.312162162162,2.07167235495,0.855791962175,1.81007751938,0.588362068966,0.91091954023
12-HETE-To,-8.7,-70.7,7.01,-6.81,-24.34,-0.49,-24.73,-0.01,19.59,-36.6,0.591549295775,0.14406779661,1.70879676441,0.4325,0.273432835821,0.938209331652,0.209904153355,0.998938428875,3.57424441524,0.464912280702
C18:3n6-NEFA,-0.18,-0.22,-0.72,0.1,-1.36,-0.15,-0.39,-0.06,-0.55,0.03,0.454545454545,0.511111111111,0.307692307692,1.34482758621,0.231638418079,0.651162790698,0.535714285714,0.828571428571,0.3125,1.14285714286
C17:0,-2.5,-75.8,2.03,-13.03,-28.28,-2.31,-39.95,1.69,20.61,-24.96,0.897875816993,0.222723543888,1.06039869087,0.403114979386,0.42949364535,0.866551126516,0.343359631821,1.10819462228,1.89375542064,0.571649219152
%C20:4n6 (AA),-0.0174,-0.964,-1.0814,-0.9252,-0.0963,-0.139,-0.8851,-0.8597,-0.2261,-0.3508,0.99525497682,0.770749108205,0.660470957614,0.687115319581,0.96862170088,0.946966806562,0.671210995542,0.794083832335,0.928313253012,0.918094793369
_ (n-6) PUFA-NEFA,-4.57,3.06,-24.97,19.05,-108.97,35.1,-21.09,46.73,-20.99,1.19,0.792083712466,1.32415254237,0.31419939577,2.78873239437,0.145601379959,2.10865445357,0.560350218887,5.61303060217,0.340766331658,1.13853317811
_ (n-6)/_ (n-3) ,0.07,1.39,3.53,2.38,-0.15,2.01,1.03,1.2,1.57,-1.33,1.00680272109,1.16238317757,1.41923990499,1.41105354059,0.980867346939,1.28429985856,1.20196078431,1.1259181532,1.22525107604,0.902421129861
15-KETE-To,-1.7,-13.18,0.08,-1.68,-6.93,0.02,-6.66,-0.19,4.09,-7.61,0.607390300231,0.16582278481,1.03361344538,0.525423728814,0.231707317073,1.0081300813,0.265711135612,0.939297124601,3.22282608696,0.371074380165
C18:2n6-NEFA,-3.77,3.21,-17.75,17.75,-90.14,32.35,-14.85,44.44,-18.98,2.81,0.807358201329,1.41634241245,0.351716581446,2.94414019715,0.153615023474,2.11206600206,0.61328125,6.24056603774,0.340972222222,1.5841995842
C18:3n3-NEFA,0.44,0.44,-3.26,1.58,-9.5,2.9,-1.14,3.49,-3.31,0.42,1.31428571429,1.33333333333,0.345381526104,2.13669064748,0.193548387097,2.02473498233,0.670520231214,2.72772277228,0.325865580448,1.60869565217
%C22:5n3 (DPA),-0.0569,-0.3058,-0.2436,-0.1222,0.0506,-0.2577,-0.2017,-0.1616,-0.1078,-0.0927,0.878158458244,0.565007112376,0.44,0.768121442125,1.23534883721,0.557216494845,0.550779510022,0.617966903073,0.750462962963,0.790271493213
5-KETE-To,-1.99,-15.22,0.52,-2.83,-5.7,-0.02,-8.78,0.13,3.39,-6.05,0.531764705882,0.144943820225,1.2441314554,0.220385674931,0.25,0.987878787879,0.139215686275,1.05058365759,3.09259259259,0.454954954955
%_ MUFA,1.207,2.928,3.448,-0.668,3.018,-1.102,-0.933,-0.012,1.679,-0.698,1.03673158856,1.09518855657,1.1,0.982858609187,1.09212454212,0.969633507853,0.974190871369,0.999653979239,1.05548578982,0.980567928731
9(10)-EpOME-NE,-2.36,-4.42,9.86,3.17,-0.65,5.14,3.12,-4.22,-0.58,3.33,0.681940700809,0.405114401077,3.56770833333,2.1872659176,0.725738396624,5.94230769231,3.02597402597,0.594230769231,0.895306859206,2.99401197605
15_16-DiHODE-To,2.07,4.0,9.86,6.21,-0.49,0.61,6.98,2.55,3.34,3.07,8.66666666667,2.08108108108,5.83333333333,9.50684931507,0.897058823529,1.65591397849,2.54424778761,3.0564516129,7.07272727273,4.26595744681
C12:0-NEFA,-0.23,0.43,-0.68,0.63,-2.66,1.02,0.04,0.5,-0.2,-0.22,0.868571428571,1.344,0.74144486692,1.5625,0.37558685446,1.61818181818,1.0206185567,1.21551724138,0.903381642512,0.893203883495
%-C15:0-NEFA,0.04,-0.625,0.724,-0.867,0.619,-0.494,0.295,-2.488,1.076,-0.239,1.02287021155,0.753937007874,1.93419354839,0.590264650284,1.61653386454,0.620292083013,1.30987394958,0.233045622688,1.9430324277,0.890013805798
%C14:0,0.3067,0.7753,0.9363,0.3905,-1.2295,0.0973,0.4105,0.6757,0.0923,0.4661,1.26998239437,1.70099457505,1.81559233449,1.16897446993,0.714931602133,1.05316939891,1.17587832048,1.517381317,1.05432607416,1.37832792208
%C16:0,-2.4152,0.6721,-1.359,-0.889,-5.5023,0.9806,0.1918,0.76,-0.1342,0.4389,0.918874072084,1.02666005553,0.949657343953,0.967895706186,0.856811616832,1.0380815534,1.00576894156,1.02943112729,0.995187721878,1.01741183005
17(18)-EpETE-To,-0.99,-12.03,-1.76,-3.39,-3.1,0.6,-8.16,0.07,3.1,-3.14,0.663265306122,0.121897810219,0.584905660377,0.284810126582,0.321663019694,1.14778325123,0.381818181818,1.04761904762,4.13131313131,0.356557377049
15-HEPE-NE,-0.1,0.04,-0.28,-0.1,0.12,0.05,-0.14,-0.54,0.12,0.09,0.74358974359,1.16,0.416666666667,0.666666666667,1.70588235294,1.14705882353,0.641025641026,0.217391304348,1.8,1.3
%_ SFA,-0.1541,5.2434,2.4972,2.6691,-6.2907,3.946,2.9774,4.2266,0.6935,3.1786,0.995696732756,1.17129696178,1.0740569395,1.07783902012,0.869973129392,1.12315855181,1.07207455822,1.1322465582,1.0198539937,1.10435325016
9_10-DiHODE-To,0.64,0.85,3.36,1.08,-0.16,0.26,1.89,0.68,1.08,0.94,22.3333333333,2.51785714286,31.5454545455,14.5,0.771428571429,3.16666666667,4.31578947368,9.5,14.5,5.47619047619
