Oxylipin,Name,Correlation,P-Value,Anti-Athero Mean,Pro-Athero Mean,Anti- St Dev,Pro -St Dev,Type,Parent Fatty Acid
15-HETE-NE-F,,-0.1908983456378592,0.8250628223383719,0.3174,0.27290000000000003,0.15109698871916674,0.4086134726119539,alcohol,AA
11-HETE-NE-F,,-0.04098651557153582,0.9361254980805521,0.091225,0.0948,0.047069478787568175,0.0662806155674493,alcohol,AA
15-HEPE-NE-F,,-0.040672177922316095,0.6141717659739694,0.3176,0.3718,0.12155369184027287,0.19652913270047284,alcohol,EPA
13-HOTE-NE-F,,-0.03370182352372401,0.9416902976038963,2.962,3.072,1.954410397025149,2.607866944458632,alcohol,ALA
12-HETE-NE-F,,0.11298668276332041,0.5490189734000879,2.994,7.0684,2.0980181124099,13.834517313589224,alcohol,AA
9-HEPE-NE-F,,0.1447725830642175,0.703110676982897,0.13792,0.16182,0.09843940775929118,0.09277700146049131,alcohol,EPA
12-HEPE-NE-F,,0.2729126759833942,0.34711321530286166,0.3976,1.3498,0.29593293159092654,1.9894049864218195,alcohol,EPA
 
Ketone
5-KETE-NE-F,,-0.5579954912598205,0.2618924210446072,0.06976,0.04748,0.03386986861503895,0.02358796303202123,ketone,AA
12(13)-Ep-9-KODE-NE-F,,-0.40399102280216215,0.31960178258771343,2.1164,1.1448,1.1791245905331624,1.6737201677699887,ketone,LA
13-KODE-NE-F,,-0.1945249497809917,0.5535563021765237,4.011799999999999,2.7573999999999996,3.3090672703950887,3.103003996130202,ketone,LA
9-KODE-NE-F,,-0.17353645837016926,0.7466795696295547,7.159999999999999,6.118,3.3608704229708115,6.10362351394645,ketone,LA
 
Diol
12_13-DiHOME-NE-F,,-0.5475535960974378,0.14930415812743134,1.0487199999999999,0.1621,1.1117187108257196,0.1285967340176258,Diols,LA
15_16-DiHODE-NE-F,,-0.47379773173232004,0.23498160855022496,2.6235399999999998,0.3376,3.657406151632602,0.21663517719890263,Diols,ALA
11_12-DiHETrE-NE-F,,-0.46953503851023454,0.19942230632295935,0.09332,0.031104,0.09006285027690386,0.018727655485938435,Diols,AA
14_15-DiHETrE-NE-F,,-0.4411135441627044,0.29938170036525613,0.062774,0.013678000000000001,0.09212728738001572,0.0032389689717562905,Diols,AA
19_20-DiHDoPE-NE-F,,-0.41810556477103944,0.30505571758533656,0.14328,0.0326,0.2104826524918384,0.009470216470598777,Diols,DHA 
14_15-DiHETE-NE-F,,-0.40047239409293506,0.18979754977433222,0.19712000000000002,0.054272,0.20141863617848274,0.09553039029544473,Diols,EPA
5_6-DiHETrE-NE-F,,-0.37194367173159576,0.23866569821099654,1.3054000000000001,0.36900000000000005,1.5078692914175285,0.22105655384991416,Diols,AA
