Oxylipin,Name,Parent FA,Pathway,Correlation,P-Value,Anti-Athero Mean,Pro-Athero Mean,Anti- St Dev,Pro -St Dev
C22:6n3 (DHA)-PP,,,,0.6525726667791468,0.08247449641544875,196.81615637691561,312.71541429158975,51.8013602290238,119.87922834746509
C22:5n3 (DPA)-PP,,,,0.6559722530038397,0.03375956901789414,48.823603114585474,98.99727720768564,8.835873128465208,36.04909920193556
Σ SFA-PP,,,,0.6581373698854988,0.08354846437706723,3923.865454694016,8426.648304099932,659.0370508419845,4400.521722446714
C18:1n9-PP,,,,0.6583944376754653,0.06782774981129759,2332.8826687941673,5987.126704081027,564.5882551776664,3302.879450364462
Σ MUFA-PP,,,,0.6596572192217602,0.06519776876760051,2748.5047632741753,6998.332088751561,647.4618303121723,3786.0980623779756
9(10)-EpODE-To-PP,,,,0.6653540430095918,0.0075352028104363235,16.34,32.76,4.415653971950253,9.360181622169534
C16:0-PP,,,,0.669390270565452,0.07816509498243221,2907.111222921815,6459.302254502358,529.2786591451456,3384.051651023304
Σ (n-3) PUFA-PP,,,,0.676958071066846,0.06187711768019415,407.3028897505793,845.528985616437,71.4452216708994,383.3981239325254
C18:3n3-PP,,,,0.7067135035776694,0.04086306657426585,80.21137286755177,217.02613117929758,22.166775466973398,104.10711415165524
C18:1n7-PP,,,,0.7290773223687842,0.031872428140862684,157.86247544942006,337.83112306772347,26.82595911529242,126.50417618739624
C20:2n6-PP,,,,0.7293864427008083,0.01667485049257521,22.77864942037536,45.300465332145,4.101333685714579,13.307849115747471
C15:0-PP,,,,0.7337154099526156,0.018320124139594298,25.449681926621757,43.75430369234598,5.667658826801597,12.64497755076156
C17:0-PP,,,,0.7501985935544652,0.02845546023425108,32.09397687609927,53.586991001653494,4.264858623002206,14.73963928195272
C18:1n9/C18:0-PP,,,,0.7626526165045202,0.002316653402164567,2.8429453658418455,3.906713349369987,0.37103262426645695,0.3948187986163642
C16:1n7t-PP,,,,0.7732215664022193,0.006234593728823248,38.94811312839722,104.84469712327943,8.017918422158115,29.752385231203842
