Oxylipin,Name,Correlation,P-Value,Anti-Athero Mean,Pro-Athero Mean,Anti- St Dev,Pro -St Dev,Type,Parent Fatty Acid
13-HOTE-NE-F,,-0.1563553604923338,0.8137354140134754,2.992,3.19,0.46002173861677054,1.7133300907881117,alcohol,ALA
13-HODE-NE-F,,0.002849152079467707,0.5665359182619428,31.2,37.519999999999996,8.74728529316381,21.96399326169994,alcohol,LA
15-HETE-NE-F,,0.1107759875006968,0.5185724406984632,2.1452,3.5518,0.7297226870531034,4.4101673664386025,alcohol,AA
9-HODE-NE-F,,0.11926140915365252,0.2767709014617647,22.76,29.279999999999994,5.548242965119659,11.19182737536638,alcohol ,LA
12-HETE-NE-F,,0.12199554210217982,0.44526598622088454,25.028000000000002,64.578,16.451380489186917,103.78730375147049,alcohol,AA
8-HETE-NE-F,,0.12787918082661187,0.4996161774486107,0.7604,1.0859999999999999,0.2362124044160256,0.963582637867661,alcohol,AA
12-HEPE-NE-F,,0.16023146019113607,0.36510967356267326,1.7776,4.3422,1.4052829964103315,5.522772419718199,alcohol,EPA
11-HETE-NE-F,,0.21491049606196186,0.4396592618380621,0.7568,1.23,0.32807270535660216,1.2075924395258526,alcohol ,AA
5-HETE-NE-F,,0.22193021919039246,0.24539141832694222,3.8579999999999997,5.03,1.4033780673788532,1.5495160534825023,alcohol,AA
15-HEPE-NE-F,,0.22364640016787313,0.20640011396520647,0.4788,0.7666000000000001,0.2640903254570299,0.3863946169397288,alcohol,EPA 
9-HEPE-NE-F,,0.40271010762897863,0.17564244543141477,0.22400000000000003,0.4008,0.04522720420278034,0.23968562743727473,alcohol,EPA
 
Ketone
5-KETE-NE-F,,0.08719650195169232,0.6035629568461458,0.18652,0.24144000000000002,0.13462819912633464,0.18301821767244922,ketone,AA
13-KODE-NE-F,,0.22303284976339138,0.2724992226347457,2.734,4.374,1.2887125358279095,2.83261010377355,ketone,LA
9-KODE-NE-F,,0.30116343383491107,0.1034525090754565,7.51,11.059999999999999,1.737483812874238,3.9554013702783712,ketone,LA
 
Diol
12_13-DiHOME-NE-F,,-0.5610297278635278,0.21857103052680193,4.234,2.846,1.6782967556424573,1.6084246951598327,Diols,LA
9_10-DiHOME-NE-F,,-0.44698010700223795,0.452701839013666,5.1899999999999995,4.346,1.4321487352925362,1.9147401912531106,Diols,LA
15_16-DiHODE-NE-F,,-0.3942192924794463,0.4580413143360511,12.536000000000001,9.964000000000002,5.960325494467559,4.346179931848193,Diols,ALA
11_12-DiHETrE-NE-F,,-0.2528048590845538,0.41664886433853787,0.853,0.7228000000000001,0.2312217550318311,0.24916600891774937,Diols,AA
19_20-DiHDoPE-NE-F,,-0.24493177999645932,0.1490991230568005,1.9160000000000004,1.3902,0.38759514960845143,0.6263227602442694,Diols,DHA
5_6-DiHETrE-NE-F,,-0.1425063968877157,0.6729039553847012,1.5294,1.251,1.2818029489746072,0.6132878606331618,Diols,AA
14_15-DiHETrE-NE-F,,-0.12496260689675388,0.6005242653998906,0.8855999999999999,0.8024000000000001,0.22640075088214692,0.25536503284514084,Diols,AA
9_10-DiHODE-NE-F,,0.011806873964414752,0.5557335356972422,0.6002,0.7374,0.2071743227332964,0.45392047761695,Diols,ALA
8_9-DiHETrE-NE-F,,0.072469402914197,0.9830867507562677,0.566,0.5633999999999999,0.20172382110202103,0.17311932301161548,diols,AA
17_18-DiHETE-NE-F,,0.2675436551850879,0.8047340057371591,4.5920000000000005,4.824,1.2061384663462136,1.6326757179550373,Diols,EPA 
